cod;nome;período;valor
22;PI;1989;66
21;MA;1989;180
12;AC;1989;55
33;RJ;1989;2981
11;RO;1989;295
35;SP;1989;3014
41;PR;1989;585
32;ES;1989;411
31;MG;1989;518
29;BA;1989;614
42;SC;1989;197
43;RS;1989;923
50;MS;1989;220
51;MT;1989;219
52;GO;1989;518
13;AM;1989;156
14;RR;1989;1
15;PA;1989;383
16;AP;1989;21
17;TO;1989;42
53;DF;1989;205
25;PB;1989;230
26;PE;1989;1721
27;AL;1989;342
28;SE;1989;72
24;RN;1989;138
23;CE;1989;233
29;BA;1990;551
51;MT;1990;195
52;GO;1990;405
53;DF;1990;295
24;RN;1990;124
25;PB;1990;237
26;PE;1990;1776
27;AL;1990;286
28;SE;1990;76
31;MG;1990;604
32;ES;1990;438
43;RS;1990;1170
50;MS;1990;197
14;RR;1990;10
13;AM;1990;205
12;AC;1990;37
11;RO;1990;308
16;AP;1990;18
15;PA;1990;484
17;TO;1990;28
21;MA;1990;203
22;PI;1990;38
23;CE;1990;274
42;SC;1990;227
41;PR;1990;628
35;SP;1990;3178
33;RJ;1990;5611
28;SE;1991;189
27;AL;1991;267
26;PE;1991;2051
43;RS;1991;1266
25;PB;1991;189
24;RN;1991;121
50;MS;1991;247
51;MT;1991;240
23;CE;1991;277
22;PI;1991;36
21;MA;1991;211
17;TO;1991;50
15;PA;1991;526
14;RR;1991;21
13;AM;1991;239
12;AC;1991;74
11;RO;1991;275
53;DF;1991;351
52;GO;1991;486
16;AP;1991;21
42;SC;1991;225
41;PR;1991;650
35;SP;1991;3359
33;RJ;1991;4016
32;ES;1991;502
31;MG;1991;617
29;BA;1991;292
43;RS;1992;1208
13;AM;1992;184
14;RR;1992;54
15;PA;1992;490
16;AP;1992;40
17;TO;1992;46
21;MA;1992;213
22;PI;1992;35
23;CE;1992;225
24;RN;1992;121
25;PB;1992;228
26;PE;1992;1761
27;AL;1992;303
28;SE;1992;328
29;BA;1992;461
31;MG;1992;626
32;ES;1992;402
33;RJ;1992;3618
35;SP;1992;3306
41;PR;1992;649
42;SC;1992;187
50;MS;1992;264
53;DF;1992;301
52;GO;1992;479
51;MT;1992;172
12;AC;1992;55
11;RO;1992;234
11;RO;1993;288
33;RJ;1993;4387
32;ES;1993;580
31;MG;1993;655
25;PB;1993;207
26;PE;1993;1946
53;DF;1993;394
52;GO;1993;445
51;MT;1993;188
50;MS;1993;297
43;RS;1993;869
42;SC;1993;216
41;PR;1993;746
35;SP;1993;3929
29;BA;1993;1050
28;SE;1993;167
27;AL;1993;365
12;AC;1993;67
13;AM;1993;182
14;RR;1993;44
15;PA;1993;394
16;AP;1993;41
17;TO;1993;33
21;MA;1993;179
22;PI;1993;37
23;CE;1993;309
24;RN;1993;164
43;RS;1994;1018
13;AM;1994;205
12;AC;1994;48
11;RO;1994;235
50;MS;1994;323
51;MT;1994;157
52;GO;1994;510
17;TO;1994;35
21;MA;1994;126
22;PI;1994;41
23;CE;1994;291
24;RN;1994;133
25;PB;1994;198
26;PE;1994;1966
27;AL;1994;415
28;SE;1994;220
29;BA;1994;1186
31;MG;1994;589
32;ES;1994;617
33;RJ;1994;5495
53;DF;1994;426
14;RR;1994;49
35;SP;1994;4432
41;PR;1994;823
16;AP;1994;55
15;PA;1994;430
42;SC;1994;215
12;AC;1995;59
53;DF;1995;491
52;GO;1995;540
51;MT;1995;351
50;MS;1995;457
43;RS;1995;1249
42;SC;1995;300
41;PR;1995;964
35;SP;1995;5472
33;RJ;1995;6736
32;ES;1995;638
31;MG;1995;742
29;BA;1995;1091
28;SE;1995;141
27;AL;1995;502
26;PE;1995;2176
11;RO;1995;167
13;AM;1995;202
14;RR;1995;55
15;PA;1995;414
16;AP;1995;58
17;TO;1995;43
21;MA;1995;169
22;PI;1995;59
23;CE;1995;400
24;RN;1995;153
25;PB;1995;255
25;PB;1996;275
17;TO;1996;49
16;AP;1996;89
15;PA;1996;349
26;PE;1996;2326
24;RN;1996;144
41;PR;1996;790
23;CE;1996;355
22;PI;1996;40
21;MA;1996;188
14;RR;1996;50
53;DF;1996;435
52;GO;1996;472
51;MT;1996;430
50;MS;1996;468
43;RS;1996;1006
42;SC;1996;220
28;SE;1996;153
29;BA;1996;1488
31;MG;1996;650
13;AM;1996;220
12;AC;1996;61
11;RO;1996;196
35;SP;1996;5365
33;RJ;1996;6021
32;ES;1996;662
27;AL;1996;516
17;TO;1997;50
22;PI;1997;46
23;CE;1997;452
24;RN;1997;153
25;PB;1997;327
27;AL;1997;480
28;SE;1997;117
29;BA;1997;1426
31;MG;1997;732
32;ES;1997;955
33;RJ;1997;6162
35;SP;1997;5378
41;PR;1997;898
42;SC;1997;232
